Coffeeshop;0;7.3;2023-03-18 16:34:50;
Snacks;0;2.19;2023-03-18 01:38:08;
Food / Eating out ;0;9.9;2023-03-18 01:37:58;
Vape;0;6.5;2023-03-18 01:37:46;
Wolt;0;15.16;2023-03-18 01:37:29;
Groceries;0;6.18;2023-03-18 01:37:17;
Bar / Drinks;0;7.0;2023-03-18 01:36:47;
Food / Eating out ;0;9.47;2023-03-18 01:36:36;
Sports;0;4.9;2023-03-18 00:50:52;Ergo owes me 20
Coffeeshop;0;2.3;2023-03-17 20:35:19;
Bar / Drinks;0;3.85;2023-03-17 20:30:00;
Coffeeshop;0;6.0;2023-03-17 20:29:47;
Drogas ;0;23.48;2023-03-16 21:32:50;
Shopping ;0;18.0;2023-03-16 21:06:31;
Debts;0;88.0;2023-03-16 19:20:40;Debt to mom
Home;0;490.0;2023-03-16 19:06:05;
Groceries;0;3.18;2023-03-16 19:04:20;
Food / Eating out ;0;10.16;2023-03-16 19:02:37;
Wolt;0;11.99;2023-03-16 17:01:22;Moms card 
Groceries;0;1.05;2023-03-15 01:17:43;Moms card 
Coffeeshop;0;6.1;2023-03-15 01:17:23;Moms card 
Wolt;0;24.880000000000003;2023-03-15 01:16:53;Moms card 
Wolt;0;15.84;2023-03-14 23:22:51;Moms card 
Food / Eating out ;0;4.8;2023-03-14 23:22:43;Moms card 
Groceries;0;0.99;2023-03-14 23:22:22;
Snacks;0;1.3;2023-03-14 23:22:15;
Drogas ;0;14.01;2023-03-14 16:55:48;
Groceries;0;2.58;2023-03-13 23:37:34;
Wolt;0;9.05;2023-03-13 18:20:21;
Food / Eating out ;0;4.2;2023-03-12 20:15:49;
Groceries;0;16.1;2023-03-12 20:08:48;
Food / Eating out ;0;16.0;2023-03-12 15:16:55;
Groceries;0;1.5699999999999998;2023-03-11 20:33:03;
Food / Eating out ;0;4.8;2023-03-11 18:47:33;
Drogas ;0;5.99;2023-03-11 18:47:24;
Coffeeshop;0;3.6;2023-03-11 16:32:39;
Wolt;0;12.190000000000001;2023-03-10 17:51:02;
Vape;0;6.38;2023-03-10 16:32:02;
Snacks;0;4.0;2023-03-10 16:31:41;
Groceries;0;67.72;2023-03-10 16:31:34;
Wolt;0;13.99;2023-03-10 14:04:57;
Food / Eating out ;0;8.68;2023-03-09 18:53:06;
Snacks;0;2.85;2023-03-09 01:55:41;
Groceries;0;4.86;2023-03-09 01:55:35;
Taxi;0;33.2;2023-03-08 14:57:30;Съездить поздравить Вику 
Online Subscriptions;0;0.95;2023-03-08 14:57:15;
Shopping ;0;6.49;2023-03-08 14:56:55;
Groceries;0;4.87;2023-03-08 14:56:45;
Taxi;0;3.5;2023-03-08 14:56:14;
Gifts;0;104.89000000000001;2023-03-08 14:55:20;For Vika for 8th march
Wolt;0;29.330000000000002;2023-03-08 14:55:07;
TET INTERNET;0;20.6;2023-03-08 14:54:26;
Food / Eating out ;0;6.2299999999999995;2023-03-07 14:53:59;
Taxi;0;12.8;2023-03-07 14:53:37;
Shopping ;0;71.4;2023-03-07 14:53:13;Polo sweater
Pharmacy ;0;8.5;2023-03-07 14:52:41;Hand cream
Groceries;0;2.6100000000000003;2023-03-07 14:52:27;
Coffeeshop;0;7.45;2023-03-07 14:51:47;
Food / Eating out ;0;5.65;2023-03-07 14:51:36;
Wolt;0;11.99;2023-03-07 14:51:05;
Finance;0;2.9899999999999998;2023-03-07 12:27:06;Revolut fee
Food / Eating out ;0;3.19;2023-03-07 02:01:30;
Food / Eating out ;0;5.18;2023-03-07 01:56:36;Lulu
Shopping ;0;14.98;2023-03-06 22:26:46;Mouse 
Groceries;0;1.78;2023-03-06 22:26:21;Water 
Wolt;0;29.330000000000002;2023-03-06 22:25:58;
Taxi;0;34.6;2023-03-06 04:25:34;Taxi for me and vika home 
Taxi;0;8.0;2023-03-05 22:25:04;Travel: taxi 
Snacks;0;3.3;2023-03-05 22:24:40;Travel: buying guns
Food / Eating out ;0;95.5;2023-03-05 22:24:01;Travel: Tallink ship restaurant 
Food / Eating out ;0;14.5;2023-03-05 22:23:46;Travel: Taco Bell 
Online Subscriptions;0;10.99;2023-03-05 22:23:16;Itunes 
Snacks;0;1.1800000000000002;2023-03-05 22:22:57;Travel: water 
Transport;0;6.2;2023-03-05 22:22:24;Travel: Helsinki metro 
Shopping ;0;9.5;2023-03-05 22:21:53;Travel: souvenir 
Entertainment;0;24.0;2023-03-05 22:21:32;Travel: museum visit 
Coffeeshop;0;26.6;2023-03-05 22:20:44;Travel: cafe visit steabucks 
Services ;0;10.0;2023-03-05 22:19:31;Travel: Church visit in Helsinki 
Online Subscriptions;0;10.48;2023-03-05 22:19:06;Itunes 
Bar / Drinks;0;28.0;2023-03-04 22:18:27;Travel: bar liberty or death 
Bar / Drinks;0;28.9;2023-03-04 22:17:42;Travel: bar kapelli
Groceries;0;11.49;2023-03-04 22:17:06;Travel: groceries 
Bar / Drinks;0;17.490000000000002;2023-03-04 22:16:48;Travel: drinks 
Bar / Drinks;0;22.9;2023-03-04 22:16:23;Travel: wine bottle 
Bar / Drinks;0;11.9;2023-03-04 22:15:57;Travel: bar 
Taxi;0;4.1;2023-03-04 22:15:13;Travel
English for liza ;0;17.919999999999998;2023-03-03 22:14:05;
Travel;0;118.0;2023-03-03 22:13:17;Rent in Helsinki minus vika 
Travel;0;120.0;2023-03-03 22:12:22;Ship to tallin minus 100 from vika  
Travel;0;52.0;2023-03-03 22:11:35;Liz express bus tickets to and from Tallin with deduction of what vika gave me 
Groceries;0;8.309999999999999;2023-03-03 22:10:30;
Food / Eating out ;0;5.55;2023-03-03 22:10:08;Lido 
Food / Eating out ;0;13.3;2023-03-03 22:09:22;Food for the trip 
Debts;0;350.0;2023-03-03 22:08:55;Roman debt 
Home;0;317.69;2023-03-03 22:07:19;Utilities + deposit for new appartment 
Finance;0;2.2;2023-03-03 19:00:02;Bank fee
Drogas ;0;6.29;2023-03-03 18:59:33;
Pharmacy ;0;8.620000000000001;2023-03-03 18:59:21;
Shopping ;0;24.5;2023-03-03 18:59:10;
Food / Eating out ;0;9.2;2023-03-03 18:58:58;
Taxi;0;7.9;2023-03-03 18:58:54;
Food / Eating out ;0;7.790000000000001;2023-03-02 17:51:33;Food
Taxi;0;21.7;2023-03-01 17:04:30;Taxi for vika
Groceries;0;16.1;2023-03-01 17:03:58;Moms card
Food / Eating out ;0;7.95;2023-03-01 17:03:42;Moms card
Drogas ;0;1.44;2023-03-01 16:00:37;
Wolt;0;13.49;2023-02-28 12:37:52;
Bar / Drinks;0;25.0;2023-02-28 02:40:55;Moms card 
Church;0;1.0;2023-02-28 02:40:36;
Coffeeshop;0;3.8;2023-02-28 02:40:28;
Food / Eating out ;0;8.55;2023-02-28 02:40:07;
Groceries;0;2.67;2023-02-28 02:39:47;
Snacks;0;3.8299999999999996;2023-02-27 22:46:39;Snacks 
Drogas ;0;9.67;2023-02-27 22:46:25;Moms card
Wolt;0;11.39;2023-02-27 22:44:34;Moms card - Wolt 
Wolt;0;11.09;2023-02-26 22:33:42;Moms card 
Snacks;0;3.25;2023-02-26 22:33:23;Moms card 
Groceries;0;6.4799999999999995;2023-02-26 20:06:01;Groceries at Rimi from moms card
Groceries;0;7.75;2023-02-26 16:10:53;Groceries at Rimi. Moms card 
